time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1994-07-17T17:40:48.300Z,29.149,81.371,29.2,5,mb,,,,0.7,us,usp0006ftz,2014-11-07T00:55:52.617Z,Nepal,earthquake,,,,42,reviewed,us,us
1994-12-12T10:41:36.700Z,29.508,80.712,33,4.5,mb,,,,1.1,us,usp0006pyt,2014-11-07T00:56:57.470Z,Nepal-India border region,earthquake,,,,3,reviewed,us,us
1995-01-01T19:56:13.620Z,27.773,87.587,61.1,4.9,mb,,,,0.6,us,usp0006qr3,2014-11-07T00:57:03.912Z,Nepal,earthquake,,17.3,,3,reviewed,us,us
1995-03-24T08:12:39.960Z,28.859,87.767,33,4.5,mb,,,,1.3,us,usp0006und,2014-11-07T00:57:33.088Z,western Xizang,earthquake,,,,7,reviewed,us,us
1995-03-29T19:11:20.520Z,28.772,84.203,33,4.7,mb,,,,0.9,us,usp0006uwx,2014-11-07T00:57:34.318Z,Nepal,earthquake,,,,6,reviewed,us,us
1995-04-17T01:32:45.040Z,29.691,81.52,18.8,4.8,mb,,,,1.1,us,usp0006vss,2014-11-07T00:57:42.918Z,Nepal,earthquake,,,,29,reviewed,us,us
1995-04-17T17:34:34.290Z,29.694,81.448,22.6,4.7,mb,,,,1,us,usp0006vu0,2014-11-07T00:57:43.126Z,Nepal,earthquake,,,,9,reviewed,us,us
1995-04-24T04:29:01.470Z,29.889,88.253,33,4.6,mb,,,,1.1,us,usp0006w8w,2014-11-07T00:57:45.715Z,western Xizang,earthquake,,,,30,reviewed,us,us
1995-07-30T07:04:02.530Z,30.266,88.229,45,4.8,mb,,,,1.1,us,usp000715c,2014-11-07T00:58:24.167Z,western Xizang,earthquake,,6.5,,55,reviewed,us,us
1995-08-03T03:05:44.440Z,29.968,81.538,26.5,4.7,ms,,,,1.3,us,usp00071cq,2014-11-07T00:58:28.503Z,Nepal,earthquake,,,,1,reviewed,us,us
1995-10-05T17:40:16.770Z,30.163,88.233,57.8,4.8,mb,,,,1.3,us,usp00074js,2014-11-07T00:58:54.045Z,western Xizang,earthquake,,5.4,,53,reviewed,us,us
1996-03-12T21:20:15.270Z,30.014,88.151,11.9,4.9,mb,,,,0.8,us,usp0007enp,2014-11-07T01:00:05.726Z,western Xizang,earthquake,,,,38,reviewed,us,us
1996-04-26T16:30:58.490Z,27.825,87.821,33,5,mb,,,,0.9,us,usp0007gmx,2014-11-07T01:00:19.278Z,Nepal,earthquake,,,,35,reviewed,us,us
1996-05-10T04:26:49.620Z,30.01,88.072,33,4.5,mb,,,,0.9,us,usp0007h6d,2014-11-07T01:00:26.391Z,western Xizang,earthquake,,,,28,reviewed,us,us
1996-05-10T09:07:01.870Z,30.001,88.069,33,4.8,mb,,,,0.8,us,usp0007h6s,2014-11-07T01:00:26.444Z,western Xizang,earthquake,,,,42,reviewed,us,us
1996-05-11T03:58:50.290Z,29.984,88.077,33,4.8,mb,,,,1,us,usp0007h7t,2014-11-07T01:00:26.573Z,western Xizang,earthquake,,,,56,reviewed,us,us
1996-05-17T17:04:39.810Z,30.058,88.143,33,4.6,mb,,,,0.8,us,usp0007hgw,2014-11-07T01:00:27.777Z,western Xizang,earthquake,,,,35,reviewed,us,us
1996-07-03T06:44:45.550Z,30.147,88.189,33,5.7,mwb,,,,1,us,usp0007kna,2020-09-15T18:51:57.018Z,western Xizang,earthquake,,,,,reviewed,us,us
1996-07-03T10:10:33.860Z,29.923,88.187,33,5,mwc,,,,0.9,us,usp0007knp,2016-11-09T22:54:16.957Z,western Xizang,earthquake,,,,,reviewed,us,hrv
1996-07-04T18:11:04.670Z,30.009,88.077,33,4.9,mb,,,,1,us,usp0007kqg,2014-11-07T01:00:45.959Z,western Xizang,earthquake,,,,33,reviewed,us,us
1996-07-08T00:18:36.200Z,30.05,88.155,33,4.5,mb,,,,1,us,usp0007kua,2014-11-07T01:00:46.899Z,western Xizang,earthquake,,,,27,reviewed,us,us
